id,2000-01-04,000001.SH,399005.SZ,399102.SZ
2873,2011-11-23,2395.065,5056.756,867.963
2874,2011-11-24,2397.554,5060.436,870.872
2875,2011-11-25,2380.224,5025.687,863.75
2876,2011-11-28,2383.034,5030.764,865.8
2877,2011-11-29,2412.393,5102.024,878.155
2878,2011-11-30,2333.414,4919.117,833.288
2879,2011-12-01,2386.86,5009.449,850.411
2880,2011-12-02,2360.664,4907.521,827.41
2881,2011-12-05,2333.229,4743.003,790.828
2882,2011-12-06,2325.905,4751.682,799.216
2883,2011-12-07,2332.73,4771.694,804.479
2884,2011-12-08,2329.82,4774.838,812.124
2885,2011-12-09,2315.27,4719.58,803.387
2886,2011-12-12,2291.545,4661.977,795.62
2887,2011-12-13,2248.59,4547.822,772.826
2888,2011-12-14,2228.525,4468.311,759.785
2889,2011-12-15,2180.895,4399.234,750.654
2890,2011-12-16,2224.84,4508.059,781.326
2891,2011-12-19,2218.235,4500.315,795.156
2892,2011-12-20,2215.93,4479.565,783.256
2893,2011-12-21,2191.148,4364.789,763.632
2894,2011-12-22,2186.297,4331.155,756.762
2895,2011-12-23,2204.784,4350.944,760.037
2896,2011-12-26,2190.11,4305.486,751.099
2897,2011-12-27,2166.205,4201.853,723.31
2898,2011-12-28,2170.013,4189.723,713.774
2899,2011-12-29,2173.561,4209.291,713.004
2900,2011-12-30,2199.417,4295.862,725.78
2901,2012-01-04,2169.39,4181.814,702.486
2902,2012-01-05,2148.452,4034.529,662.931
2903,2012-01-06,2163.395,4042.323,664.482
2904,2012-01-09,2225.89,4167.504,689.259
2905,2012-01-10,2285.744,4339.788,714.16
2906,2012-01-11,2276.046,4321.276,715.601
2907,2012-01-12,2275.01,4299.971,706.787
2908,2012-01-13,2244.58,4146.568,663.904
2909,2012-01-16,2206.193,3986.387,631.074
2910,2012-01-17,2298.376,4187.766,661.446
2911,2012-01-18,2266.384,4062.326,623.691
2912,2012-01-19,2296.075,4124.631,632.788
2913,2012-01-20,2319.118,4210.464,644.682
2914,2012-01-30,2285.038,4184.388,649.831
2915,2012-01-31,2292.61,4188.037,646.698
2916,2012-02-01,2268.08,4175.301,648.195
2917,2012-02-02,2312.556,4252.122,662.208
2918,2012-02-03,2330.405,4330.386,677.718
2919,2012-02-06,2331.136,4369.139,684.297
2920,2012-02-07,2291.902,4292.981,671.533
